on x=-34..11,y=-37..11,z=-1..49
on x=-11425..1092,y=-86820..-59255,z=19272..36854
on x=-74031..-47631,y=-56041..-42079,z=-34849..-5975
on x=23264..55393,y=-24385..-14341,z=-84810..-52053
on x=58623..84443,y=-44820..-18545,z=-29902..-6333
on x=-10321..24021,y=68936..96057,z=2909..28524
on x=47688..51476,y=57853..67038,z=-31669..2780
on x=38542..57982,y=-9157..18499,z=66278..73154
on x=-29105..-7227,y=-24863..-2067,z=-95380..-63951
on x=-6997..27477,y=61791..76011,z=10758..32484
off x=60207..70772,y=-3858..6062,z=-64870..-48042
on x=67954..79836,y=-21374..-10560,z=-52419..-35545
on x=-6525..13141,y=-41207..-23456,z=-85950..-64683
off x=-34053..-10576,y=45471..58402,z=47638..80530
off x=19936..38768,y=67206..91922,z=-32893..-6903
on x=-6214..16999,y=-40057..-38153,z=64825..81603
off x=-19878..-10427,y=-27314..-5605,z=70687..82915
off x=61845..84369,y=24698..51745,z=-17642..1597
on x=-52250..-16561,y=-79526..-68440,z=14952..27829
on x=-72713..-49221,y=-44021..-23982,z=-36288..-17529
on x=39974..62347,y=-69558..-59198,z=-2103..3556
on x=-77388..-64730,y=-1924..14369,z=32096..55287
off x=-76126..-56591,y=23341..26901,z=-5826..21015
on x=-67948..-48384,y=1641..16137,z=-74305..-40993
off x=-19782..5263,y=64946..90702,z=-38785..-31109
on x=-27856..8334,y=4699..24064,z=56893..79348
on x=-76861..-61594,y=-28973..-9806,z=14102..43403
off x=-10383..1204,y=79066..95101,z=-355..10820
on x=61525..89705,y=8152..24045,z=-34949..-18659
off x=-71297..-65945,y=10014..23398,z=-50126..-31237
on x=12762..41670,y=53685..91939,z=-2493..18813
off x=21213..30291,y=37196..58234,z=46629..64069
on x=10857..24730,y=-69859..-53004,z=-56739..-20976
off x=-36732..-9710,y=-29706..-14078,z=-74817..-59368
on x=-63048..-45167,y=-54488..-47007,z=-60695..-26721
on x=-62289..-46875,y=26153..49805,z=-52356..-31082
on x=36770..56877,y=31395..66182,z=-64463..-33318
off x=-88860..-60579,y=-23813..-5514,z=-39660..-7729
off x=63291..93910,y=10885..31112,z=9425..28393
on x=-60809..-47189,y=-70401..-54609,z=-25876..-2158
on x=-94540..-68353,y=-10..27299,z=328..15612
on x=-49451..-39326,y=8258..23698,z=45902..82299
off x=-31091..756,y=-5823..5426,z=62625..88378
on x=5845..30814,y=61840..77086,z=30945..53582
off x=-78682..-54766,y=9889..27888,z=20941..45981
off x=26194..42917,y=-58216..-39721,z=25007..61058
on x=21763..56338,y=8737..33216,z=-70432..-56137
off x=59986..93339,y=-28557..-15415,z=-5233..11534
off x=-87683..-54350,y=-16612..2297,z=-49393..-18659
off x=-60692..-32499,y=49545..60067,z=26753..42264
on x=56380..70957,y=23901..54728,z=36375..50043
off x=38009..74577,y=-57954..-48151,z=-14895..-11951
off x=-79738..-70510,y=5910..19491,z=-15237..5145
off x=-46827..-21081,y=-46230..-20158,z=-79319..-45699
off x=-63554..-55785,y=-52364..-32900,z=-16876..-5239
off x=45347..58244,y=28830..35820,z=38306..66942
off x=-47587..-21084,y=57494..68452,z=21026..52003
on x=-56874..-33407,y=-29429..-9928,z=54871..71498
on x=51254..78091,y=39309..61364,z=20061..42565
off x=-36466..-20174,y=-59961..-51155,z=33854..70992
off x=3263..35985,y=-79265..-77531,z=-20433..3258
on x=-27091..-14940,y=-55722..-42281,z=40777..80184
on x=20439..41039,y=-22873..5532,z=-73121..-60355
off x=32620..41069,y=24835..39737,z=-76125..-46671
off x=-33131..2887,y=-16184..3748,z=-89695..-66464
on x=59426..75030,y=25169..31712,z=21145..34620
on x=18087..42525,y=48788..61157,z=34691..58778
off x=-72381..-57707,y=-59843..-35634,z=-43185..-17390
off x=2976..26568,y=-48972..-27104,z=61885..85496
off x=10684..28945,y=49452..60028,z=-58169..-44154
on x=61615..82464,y=15193..44533,z=-24915..5235
off x=-76354..-43775,y=39414..52719,z=-37441..-23866
off x=-78385..-61092,y=-56337..-41616,z=-23258..-8443
off x=48401..69430,y=-58394..-52203,z=2289..33917
on x=-92022..-66755,y=-6400..17470,z=23678..33531
on x=-81545..-68555,y=-7455..8278,z=-34541..-19376
off x=16424..29163,y=-55292..-48820,z=41821..59197
on x=-7715..6007,y=60161..64880,z=47381..67475
off x=74346..87929,y=-719..12458,z=-10722..9100
on x=36096..42796,y=-385..26447,z=-77539..-52795
on x=-49856..-17540,y=-72898..-63708,z=15050..41816
on x=-56355..-34800,y=-60202..-44642,z=-36805..-31457
on x=-68489..-47402,y=41390..67701,z=-41862..-7921
off x=-17948..11318,y=-66472..-45762,z=-64892..-57599
on x=10572..37583,y=-37887..-8474,z=-69955..-63338
off x=-96236..-65731,y=10410..29561,z=-14771..14159
on x=-86498..-47637,y=34181..37661,z=-41545..-12329
off x=-75535..-66238,y=-30951..-5282,z=-46476..-27343
on x=-55148..-25191,y=59181..85871,z=-9782..16797
on x=-64990..-48307,y=-32624..-7934,z=-48546..-36839
on x=63138..80168,y=-7903..23895,z=-60804..-39167
on x=-64588..-56268,y=-42294..-21697,z=-60472..-40608
off x=32749..52578,y=-34277..-16866,z=48846..69340
on x=-74631..-67621,y=-55302..-26055,z=-347..17618
off x=15732..31912,y=-25375..515,z=59019..75891
off x=46836..75282,y=35328..53016,z=26333..43664
off x=-29466..4095,y=53484..67803,z=26791..56554
off x=-33474..-4657,y=13661..24690,z=64518..84821
on x=-29484..7250,y=-55118..-38071,z=65890..78702
off x=-49946..-24814,y=14972..44435,z=46565..67085
off x=38830..68766,y=-32975..-22958,z=-59904..-33456
on x=8836..23146,y=-49841..-22183,z=-86051..-53643
on x=20478..36778,y=14563..38502,z=-76642..-70717
off x=-62832..-49267,y=-59351..-48438,z=-36418..-21472
on x=-14596..-6332,y=-87997..-65934,z=-40230..-29024
off x=-32875..56,y=-83259..-69446,z=9909..15485
off x=-47296..-10695,y=42472..54099,z=44680..74972
off x=-32015..-25918,y=57330..86009,z=9231..24381
on x=-92005..-65137,y=1111..25045,z=12394..24295
off x=-46754..-29442,y=-45701..-36979,z=-71799..-51846
off x=-26560..-10019,y=-55150..-26105,z=-77747..-53603
on x=-47187..-7813,y=-39573..-26101,z=-78537..-49086
off x=-40293..-26328,y=-80544..-61579,z=7090..22715
on x=16296..28866,y=33754..69627,z=-65186..-44385
off x=40090..70775,y=-47957..-34576,z=-56866..-33346
off x=-23815..-12735,y=-22962..9222,z=76473..85790
off x=-34613..-11422,y=40383..64894,z=-60311..-48702
off x=-45722..-29675,y=-48051..-33369,z=-73768..-44779
off x=-23366..4834,y=26003..59152,z=55244..73418
on x=214..28848,y=-84452..-62422,z=21223..56408
on x=52468..72363,y=-8603..9438,z=35911..72069
off x=-8281..17663,y=-57767..-31151,z=-71957..-45416
off x=24182..48932,y=-8472..23893,z=57719..77595
on x=60930..76770,y=-18794..2735,z=24412..39702
off x=-49128..-19872,y=-2607..14981,z=54444..81616
off x=35157..64048,y=-19732..1505,z=-81311..-59935
on x=34344..61718,y=-56242..-48630,z=20338..41819
off x=20129..43326,y=-20383..488,z=67528..93528
on x=-6646..31268,y=-12194..-4850,z=-87483..-61752
off x=31166..46790,y=-7966..20261,z=66736..92699
on x=-86066..-63997,y=-6063..8223,z=-39641..-26460
on x=34424..44432,y=61411..89553,z=-3432..9388
off x=57868..75662,y=-33745..-15889,z=15753..36103
on x=16583..31266,y=75719..84591,z=8772..15176
off x=-68011..-62685,y=16132..34438,z=30726..56409
off x=18600..30643,y=53465..67517,z=33760..49622
off x=-30907..-1822,y=60058..74013,z=-58516..-27597
on x=-34154..-5635,y=-24345..11649,z=71769..88510
off x=29411..55649,y=-70059..-47919,z=-8530..13838
on x=-55036..-39458,y=57289..70310,z=-2961..20669
off x=59951..64179,y=-43583..-20144,z=-34624..-31823
on x=-19941..-2932,y=36527..56357,z=51646..71595
off x=-20826..-1270,y=-6101..10206,z=-79898..-60186
on x=12039..36702,y=-78626..-56073,z=26467..40527
off x=39221..67420,y=-75200..-57145,z=-20868..6182
on x=-28238..-1572,y=-81490..-57341,z=-25569..-19056
on x=-38419..-17588,y=-73213..-58902,z=-43187..-24538
off x=26656..57945,y=-34330..-6030,z=-73041..-59424
on x=54248..86350,y=-6160..29894,z=-34519..-24681
off x=-81341..-47718,y=41904..51667,z=-19772..-9323
off x=52866..76837,y=-43382..-14133,z=8930..26934
off x=40213..51046,y=-54917..-39006,z=46674..64533
off x=20388..34803,y=-23714..-11305,z=69931..89103
on x=37853..74769,y=-48683..-33518,z=19376..49424
on x=57672..91310,y=-9764..18655,z=-38899..-7057
off x=14971..23994,y=-38021..-20102,z=-72096..-68016
off x=-97500..-59589,y=-34086..-4384,z=-12155..-19
on x=71355..85569,y=-11406..-3628,z=-48749..-28058
off x=-25434..-22190,y=24805..45598,z=68558..74239
off x=-34170..-5688,y=-90046..-57103,z=-44191..-13631
on x=-43348..-9480,y=61574..81346,z=-25300..-12582
on x=-79082..-60719,y=-38949..-25733,z=-26319..-1266
off x=-28869..-11474,y=28345..58166,z=-65968..-46601
off x=14308..42299,y=48005..71471,z=23568..49865
on x=-69572..-52743,y=37747..44104,z=11579..21304
on x=53415..78311,y=23321..34099,z=10231..27613
off x=-88236..-63055,y=-5227..12636,z=-30879..-2621
off x=-54605..-42730,y=42301..67319,z=-4782..32237
on x=35747..67488,y=39494..48171,z=-54016..-40763
off x=-70756..-57462,y=-50273..-28559,z=25208..52945
on x=-41622..-30289,y=71048..73967,z=-23963..-4294
off x=41497..76660,y=-12021..1651,z=-60264..-40721
on x=49460..77966,y=-47644..-38758,z=23528..33928
on x=25670..48587,y=29101..67728,z=-54606..-34126
off x=-89733..-67883,y=-2729..10669,z=-29506..1811
on x=-19574..7715,y=-77088..-62988,z=-37860..-27407
off x=35400..50975,y=-33185..-4724,z=-66336..-48737
off x=-22907..11539,y=-53987..-27504,z=-75205..-64428
on x=-67508..-44735,y=15179..32254,z=44509..58464
off x=-33163..-2830,y=-45868..-43687,z=-67686..-49385
on x=26279..43172,y=-59509..-54127,z=26262..57683
off x=-38685..-29279,y=41466..66224,z=-44286..-38863
on x=37624..55015,y=-64254..-49848,z=-37732..-18389
off x=-25507..9118,y=-52385..-36161,z=61556..67175
on x=-24094..-12832,y=-80676..-75864,z=-29096..-5016
on x=11194..38447,y=-20827..3045,z=-88878..-64547
on x=-85098..-58314,y=24100..36264,z=-10627..14440
on x=48893..67082,y=-56370..-50414,z=-42036..-17363
on x=-18717..-2852,y=41017..75687,z=-58699..-51493
off x=-32320..-18165,y=-17700..18129,z=-83857..-73189
on x=-40155..-26785,y=-21862..-3672,z=-75538..-64912
off x=40977..65691,y=-28844..-10394,z=-75117..-39857
off x=-76971..-49961,y=-54733..-34678,z=-17752..1721
on x=57070..63052,y=-45748..-34389,z=15730..36242
on x=-34782..-13270,y=56548..77452,z=-47043..-35700
on x=4062..23931,y=25044..49442,z=51002..72093
on x=-29099..-25714,y=5884..25198,z=-90509..-61060
on x=46552..58156,y=-60964..-38658,z=-31422..-11459
off x=-5387..29901,y=-86998..-55243,z=39169..56690
on x=31513..39925,y=56605..85518,z=-13941..8450
on x=21968..25110,y=70210..85555,z=-10835..21979
off x=41767..74319,y=-64378..-50743,z=-21161..-3603
on x=32973..61054,y=-61465..-47990,z=-50429..-43644
off x=18858..31171,y=-85870..-65907,z=15915..40198
on x=-19817..8610,y=-16951..-5835,z=74580..97308
off x=-10887..12709,y=-9975..3961,z=72570..98762
off x=-23264..-2425,y=-79456..-51232,z=27142..59450
on x=54848..83006,y=9761..29404,z=-26553..-7533
on x=11682..20953,y=-20843..-2426,z=59391..84208
off x=51881..73683,y=-56928..-43772,z=-23947..-6984
